word,level,pos,translation,phonetic,collins,oxford,frq
grey,A1,,"n. 灰色\na. 灰色的, 阴沉的\nv. (使)成灰色",grei,5.0,1.0,37508
labour,A1,,"n. 劳动, 努力, 工作, 劳工, 分娩\nvi. 劳动, 努力, 苦干\nvt. 详细分析, 使厌烦",'leibә,5.0,1.0,16348
further,A1,,"a. 更远的, 此外的, 更多的\nvt. 促进, 增进, 助长\nadv. 更进一步地, 更远地, 此外",'fә:ðә,5.0,1.0,11239
bite,A1,,"n. 咬, 一口\nv. 咬, 刺痛, 穿透",bait,5.0,1.0,3153
working,A1,,"n. 工作, 运转, 劳动\na. 工作的, 劳动的, 经营的, 抽搐的, 运转的",'wә:kiŋ,5.0,1.0,2819
council,A1,,"n. 会议, 委员会\n[经] 委员会",'kaunsәl,5.0,1.0,2612
sale,A1,,"n. 出售, 卖, 拍卖, 销售额, 廉价出售\n[经] 卖, 出售; 销售(货)",seil,5.0,1.0,2234
sir,A1,,"n. 先生, 阁下",sә:,5.0,1.0,2108
towards,A1,,"prep. 向, 对于, 为了",tә'wɔ:dz,5.0,1.0,2004
match,A1,,"n. 比赛, 火柴, 对手\nvt. 使相配, 使比赛, 与...竞争\nvi. 结婚, 相配\n[计] 比较",mætʃ,5.0,1.0,1972
minister,A1,,"n. 部长, 牧师, 公使\nvi. 服侍, 救助, 主持宗教仪式",'ministә,5.0,1.0,1910
host,A1,,"n. 主人, 旅馆老板, 节目主持人\nvt. 当主人招待, 作...节目主持人\n[计] 主机, 宿主机",hәust,5.0,1.0,1840
brown,A1,,n. 褐色\na. 褐色的\nv. (使)变褐色,braun,5.0,1.0,1769
union,A1,,"n. 联盟, 联合, 结合, 工会\n[化] 联合; 联管节; 活接头",'ju:njәn,5.0,1.0,1658
aid,A1,,"n. 帮助, 外援, 助手\nvt. 援助, 帮助, 有助于\nvi. 帮助\n[计] 自动内部诊断",eid,5.0,1.0,1640
surprise,A1,,"n. 惊奇, 奇袭, 诧异\nvt. 使惊奇, 撞见, 奇袭",sә'praiz,5.0,1.0,1624
army,A1,,"n. 军队, 陆军",'ɑ:mi,5.0,1.0,1539
yesterday,A1,,n. 昨天\nadv. 昨天,'jestәdi,5.0,1.0,1505
direct,A1,,"a. 直接的, 坦白的\nvt. 指示, 指挥, 命令, 导演\nvi. 指导, 指挥\nadv. 直接地",di'rekt,5.0,1.0,1478
chief,A1,,"n. 领袖, 酋长, 长官, 主要部分\na. 主要的, 首位的",tʃi:f,5.0,1.0,1446
committee,A1,,n. 委员会\n[经] 委员会,kә'miti,5.0,1.0,1428
twice,A1,,"adv. 两次, 两倍",twais,5.0,1.0,1410
operate,A1,,"v. 操作, 运转, 动手术, 活动",'ɒpәreit,5.0,1.0,1309
pound,A1,,"n. 磅, 英镑, 重击, 鱼塘, 拘留所, 兽栏\nvt. 强烈打击, 捣烂, 监禁, 关入栏内\nvi. 连续重击, 苦干",paund,5.0,1.0,1306
quick,A1,,"a. 快的, 迅速的, 敏捷的, 灵敏的, 急速的\nadv. 快\nn. 新长出的肉, 要害, 核心, 感觉敏锐部位",kwik,5.0,1.0,1303
demand,A1,,"n. 要求, 需求, 需要\nv. 要求, 查询",di'mɑ:nd,5.0,1.0,1287
independent,A1,,"n. 独立自主者, 无党派者\na. 独立的, 有主见的, 不须依赖的, 不受约束的",.indi'pendәnt,5.0,1.0,1265
club,A1,,"n. 俱乐部, 木棍, 球棒\nvt. 用棍棒打, 缴纳\nvi. 联合起来\na. 俱乐部的",klʌb,5.0,1.0,1257
attempt,A1,,"n. 尝试, 企图\nvt. 尝试, 企图",ә'tempt,5.0,1.0,1227
complete,A1,,"a. 完全的, 十足的, 完成的\nvt. 完成, 完工, 使圆满",kәm'pli:t,5.0,1.0,1207
department,A1,,"n. 部门, 系, 机关\n[医] 部, 科",di'pɑ:tmәnt,5.0,1.0,1198
press,A1,,"n. 压, 揿, 按, 人群, 印刷机, 压力, 出版社, 记者, 报刊, 新闻舆论, 紧迫\nvt. 压, 压榨, 紧抱, 逼迫, 推进, 强迫征募, 催逼\nvi. 压, 重压, 催促, 拥挤, 奋力前进, 受压",pres,5.0,1.0,1178
announce,A1,,"vt. 宣布, 声称, 显示, 预告\nvi. 当报幕员, 宣布参加竞选",ә'nauns,5.0,1.0,1163
MS,A1,,"美国微软公司\n[计] 主存储器, 制造系统, 毫秒, 微软公司",miz,5.0,1.0,1145
release,A1,,"n. 释放, 发泄, 豁免, 发行, 释放证书\nvt. 释放, 解除, 放松, 豁免, 免除, 发布, 放弃, 让与\nn. 发布\n[计] 版本, 发布",ri'li:s,5.0,1.0,1120
university,A1,,n. 大学,.ju:ni'vә:siti,5.0,1.0,1106
front,A1,,"n. 前面, 开头, 前线, 阵线, 态度\nvt. 面对, 朝向, 对抗\nvi. 朝向",frʌnt,5.0,1.0,1087
vote,A1,,"n. 投票, 选举, 选票, 表决, 选举权, 得票数\nvi. 投票, 选举\nvt. 投票选举, 投票决定, 公认, 使投票",vәut,5.0,1.0,1078
account,A1,,"n. 报告, 解释, 估价, 理由, 利润, 算账, 帐目\nvi. 报帐, 解释, 导致, 报偿, 占, 杀死\nvt. 认为\n[计] 帐户, 帐号",ә'kaunt,5.0,1.0,1071
capital,A1,,"n. 首都, 大写字母, 资本\na. 首都的, 重要的",'kæpitәl,5.0,1.0,1061
total,A1,,"a. 全体的, 总的, 全然的\nvt. 计算...的总和, 共计为\nvi. 合计\nn. 总数, 全体, 合计\nadv. 统统",'tәutl,5.0,1.0,1038
beat,A1,,"n. 心跳(声), 打, 敲打声, 拍子\nv. 打, 拍打, 打败\na. 疲乏的, 颓废的\nbeat的过去式\n[计] 拍; 节拍",bi:t,5.0,1.0,1036
middle,A1,,"n. 中央, 中间, 腰部\na. 中央的, 中庸的, 中间的",'midl,5.0,1.0,988
fear,A1,,"n. 恐怖, 害怕, 担心\nv. 害怕, 恐惧, 为...担心, 敬畏",fiә,5.0,1.0,985
conference,A1,,"n. 会议\n[经] 会议, 讨论会, 协商会",'kɒnfәrәns,5.0,1.0,965
bit,A1,,"n. 少量, 马嚼子, 辅币\nvt. 给马上嚼子, 控制\nbite的过去式和过去分词\n[计] 比特, 二进制数位, 机内测试",bit,5.0,1.0,952
fly,A1,,"n. 苍蝇, 两翼昆虫, 飞行\nvi. 飞, 飞翔, 飘扬, 逃走\nvt. 飞, 飞越, 使飘扬, 逃出\na. 敏捷的",flai,5.0,1.0,943
wide,A1,,"a. 宽的, 广阔的, 普遍的, 宽阔的, 广泛的, 一般的\nadv. 广阔地, 遍及各处地, 广泛地\nn. 大千世界",waid,5.0,1.0,940
peace,A1,,"n. 和平, 和约, 治安, 和睦, 安宁, 静寂\nvi. 安静下来, 不作声",pi:s,5.0,1.0,933
Mrs,A1,,太太,'misiz,5.0,1.0,932
charge,A1,,"n. 指控, 费用, 冲锋, 电荷, 炸药, 主管, 被托管人, 命令\nvt. 控诉, 加罪于, 使充满, 使充电, 使承担\nvi. 冲锋, 要价, 收费",tʃɑ:dʒ,5.0,1.0,923
visit,A1,,"n. 拜访, 访问, 游览, 视察\nvt. 拜访, 访问, 参观, 视察, 降临\nvi. 访问, 参观, 闲谈",'vizit,5.0,1.0,905
radio,A1,,"n. 无线电, 收音机, 无线电报, 无线电广播, 无线电台\nv. 用无线电发送",'reidiәu,5.0,1.0,904
firm,A1,,"n. 公司, 商号\na. 坚定的, 坚强的, 牢固的, 结实的, 坚硬的, 坚挺的, 严格的, 确定的\nvt. 使牢固, 使坚定\nvi. 变稳固, 变坚实\nadv. 稳固地",fә:m,5.0,1.0,902
green,A1,,"n. 绿色, 绿色颜料\na. 绿色的, 未成熟的, 新鲜的, 青春的, 无经验的, 脸色发青的",gri:n,5.0,1.0,890
main,A1,,"n. 主要部分, 干线, 体力, 力量, 主群组\na. 主要的, 重要的, 全力的\n[计] 主群组",mein,5.0,1.0,888
final,A1,,"n. 期末考试, 结局, 决赛\na. 最后的, 终极的, 决定性的",'fainl,5.0,1.0,887
claim,A1,,"n. 要求, 要求权, 断言, 权利\nvt. 要求, 认领, 主张\nvi. 提出要求, 主张, 断言",kleim,5.0,1.0,874
laugh,A1,,"n. 笑, 笑声\nvi. 笑, 大笑\nvt. 以笑表示",lɑ:f,5.0,1.0,861
rather,A1,,"adv. 宁可, 稍微, 相当",'ræðә,5.0,1.0,860
example,A1,,"n. 例子, 样本, 实例\n[化] 实例",ig'zæmpl,5.0,1.0,852
blue,A1,,"n. 蓝色\na. 蓝色的, 下流的, 忧郁的\nvt. 染成蓝色\nvi. 变蓝",blu:,5.0,1.0,842
act,A1,,"n. 行动, 行为, 幕, 法案\nvi. 行动, 表演, 假装, 见效, 表现, 担当\nvt. 扮演, 装作\n[计] 先进通信技术, 先进计算机工艺, 自动代码翻译技术",ækt,5.0,1.0,837
sort,A1,,"n. 种类, 方式, 品质, 态度, 举止\nvt. 分类, 排序, 挑选\nvi. 交往, 协调\n[计] 排序; DOS外部命令:从标准输入设备接收数据, 整个数据输入完后\n对它以行为单位进行排序, 然后在标准输出设备上输出",sɒ:t,5.0,1.0,835
design,A1,,"n. 设计, 图样, 方案, 企图\nv. 设计, 计划",di'zain,5.0,1.0,834
authority,A1,,"n. 权力, 当权者, 当局, 权威, 专家\n[经] 代理权, 授权, 权威",ɒ:'θɒriti,5.0,1.0,832
stage,A1,,"n. 阶段, 舞台, 场所, 戏剧, 站, 驿站, 级, 层, 脚手架\nvt. 上演, 表演, 筹划\nvi. 适于上演, 乘驿车旅行",steidʒ,5.0,1.0,829
financial,A1,,"a. 财政的, 金融的\n[经] 财政的, 金融的, 财务的",fai'nænʃәl,5.0,1.0,827
operation,A1,,"n. 操作, 动作, 手术, 运算, 作用, 业务\n[计] 运算",.ɒpә'reiʃәn,5.0,1.0,826
sister,A1,,"n. 姐妹, 姐, 妹, 护士, 修女\nvt. 姐妹般对待",'sistә,5.0,1.0,823
outside,A1,,"n. 外面, 外表, 外界\na. 外面的, 外表的, 外界的\nadv. 外面, 外表, 外界",'aut'said,5.0,1.0,809
fail,A1,,"vi. 失败, 缺乏, 中断, 衰退, 失灵\nvt. 忘记, 使...失望, 缺乏, 不及格\nn. 不及格",feil,5.0,1.0,808
general,A1,,"n. 一般, 将军, 大体\na. 全面的, 大体的, 总的, 一般的, 普遍的\nn. 常规\n[计] 常规",'dʒenәrәl,5.0,1.0,804
election,A1,,"n. 选举, 当选, 选择权\n[法] 选举, 当选",i'lekʃәn,5.0,1.0,801
trade,A1,,"n. 贸易, 商业, 交易, 生意, 职业, 顾客, 信风\nvi. 进行交易, 做买卖, 经商, 对换, 购物\nvt. 用...进行交换",treid,5.0,1.0,800
herself,A1,,"pron. 她自己, 她亲自",hә:'self,5.0,1.0,792
attack,A1,,"n. 攻击, 抨击\nvt. 攻击, 抨击, 动手干\nvi. 攻击",ә'tæk,5.0,1.0,791
staff,A1,,"n. 全体人员, 工作班子, 棍棒, 杆, 拐杖, 支柱, 权杖\na. 职员的, 雇员的, 参谋的\nvt. 为...配备人员",stɑ:f,5.0,1.0,784
cup,A1,,"n. 杯子, 茶杯, 优胜杯\nvt. 使成杯状, 为...拔火罐",kʌp,5.0,1.0,780
meeting,A1,,"n. 会议, 会面\n[法] 会议, 会谈, 集会",'mi:tiŋ,5.0,1.0,772
answer,A1,,"n. 答案, 回答, 回报, 答辩\nvt. 回答, 反驳, 适应, 响应, 符合\nvi. 回答, 答应, 负责, 符合, 成功\n[计] 用户问题及答案新闻组",'ɑ:nsә,5.0,1.0,767
accept,A1,,"vt. 接受, 承认, 同意, 相信, 赞成, 承担, 承兑, 采纳, 接纳, 容忍\nvi. 同意",әk'sept,5.0,1.0,766
pressure,A1,,"n. 压, 榨, 按, 强制, 压力, 压迫, 压强\nvt. 迫使, 使增压, 密封",'preʃә,5.0,1.0,765
list,A1,,"n. 目录, 名单, 明细表, 布条, 条纹, 列表, 序列, 数据清单\nvt. 列出, 列于表上, 记入名单内, 装布条\nvi. 列于表上\n[计] 列表, 序列, 数据清单",list,5.0,1.0,761
thought,A1,,"n. 想法, 思想, 思维, 关心, 挂念\nthink的过去式和过去分词",θɒ:t,5.0,1.0,760
sign,A1,,"n. 符号, 招牌, 征兆, 正负号, 手势\nvt. 签名, 打手势表达\nvi. 签名\n[计] 正负号; 符号; 符号字符",sain,5.0,1.0,759
serious,A1,,"a. 严肃的, 认真的, 重要的, 严重的\n[电] 严重的",'siәriәs,5.0,1.0,755
fund,A1,,"n. 基金, 资金, 存款, 财源, 贮藏\nvt. 提供资金, 积累",fʌnd,5.0,1.0,754
central,A1,,"a. 中央的, 重要的\n[医] 中央的, 中心的, 中枢的",'sentrәl,5.0,1.0,743
